Danh muc,Ten san pham,Ma hang (SKU),Xuat xu,Don vi tinh,Mo ta,Ten file anh,Link hinh anh,Link tham khao
ĐẦU PHUN CHỮA CHÁY,"Đầu phun hướng xuống Tyco DN20, K8.0, 68°C TY4251",TY4251,Tyco/UK,cái,"<p>Đầu phun sprinkler chữa cháy Tyco model TY4251, lắp hướng xuống (pendent). Loại bầu thủy tinh tự kích hoạt: khi nhiệt độ môi trường đạt 68°C, bầu thủy tinh vỡ và đầu phun xả nước dập cháy tự động. K=8.0 cho lưu lượng nước lớn hơn loại K5.6.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Model: TY4251</li>
<li>Hướng lắp: hướng xuống (pendent)</li>
<li>Kích cỡ ren: DN20 (3/4 inch)</li>
<li>Hệ số dòng chảy K = 8.0</li>
<li>Nhiệt độ kích hoạt: 68°C (bầu thủy tinh màu đỏ)</li>
<li>Cơ chế: bầu thủy tinh (glass bulb)</li>
<li>Xuất xứ: Tyco – Anh Quốc (UK)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hệ thống chữa cháy tự động sprinkler cho nhà xưởng, kho, tòa nhà, trung tâm thương mại.</p>",ty4251.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ty4251.png,https://anphat.com/vi/dau-phun-sprinkler-tyco-huong-xuong-ty4251.html
ĐẦU PHUN CHỮA CHÁY,"Đầu phun nước chữa cháy âm trần DN15, K5.6, 68°C TY3551",TY3551,Tyco/US,cái,"<p>Đầu phun sprinkler âm trần Tyco TY3551 (concealed/recessed), DN15, K=5.6, kích hoạt 68°C, kèm nắp che thẩm mỹ. Lắp âm trần cho khu vực hoàn thiện cao.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Model: TY3551</li>
<li>Loại: âm trần (concealed), hướng xuống</li>
<li>Ren: DN15 (1/2 inch)</li>
<li>Hệ số K = 5.6</li>
<li>Nhiệt độ kích hoạt: 68°C</li>
<li>Kèm nắp che thẩm mỹ</li>
<li>Xuất xứ: Tyco – Mỹ (US)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Văn phòng, khách sạn, showroom, khu vực trần hoàn thiện cần thẩm mỹ.</p>",ty3551.png|ty3551-2.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ty3551.png|https://pcccphuoclong.vn/wp-content/uploads/2026/06/ty3551-2.jpeg,https://anphat.com/vi/dau-phun-sprinkler-tyco-am-tran-ty3551.html
ĐẦU PHUN CHỮA CHÁY,"Đầu phun nước chữa cháy hướng lên TY5137, 3/4 inch, K=11.2, 68°C",TY5137,Tyco/UK-US,cái,"<p>Đầu phun sprinkler chữa cháy Tyco model TY5137, lắp hướng lên (upright). Loại bầu thủy tinh tự kích hoạt: khi nhiệt độ môi trường đạt 68°C, bầu thủy tinh vỡ và đầu phun xả nước dập cháy tự động. K=11.2 (lưu lượng lớn) cho khu vực nguy cơ cháy cao như kho hàng.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Model: TY5137</li>
<li>Hướng lắp: hướng lên (upright)</li>
<li>Kích cỡ ren: 3/4 inch</li>
<li>Hệ số dòng chảy K = 11.2</li>
<li>Nhiệt độ kích hoạt: 68°C (bầu thủy tinh màu đỏ)</li>
<li>Cơ chế: bầu thủy tinh (glass bulb)</li>
<li>Xuất xứ: Tyco – Anh/Mỹ (UK-US)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hệ thống chữa cháy tự động sprinkler cho nhà xưởng, kho, tòa nhà, trung tâm thương mại.</p>",ty5137.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ty5137.png,https://anphat.com/vi/dau-phun-sprinkler-tyco-huong-len-ty5137.html
ĐẦU PHUN CHỮA CHÁY,"Đầu phun nước chữa cháy hướng xuống TY5237, 3/4 inch, K=11.2, 68°C",TY5237,Tyco/UK-US,cái,"<p>Đầu phun sprinkler chữa cháy Tyco model TY5237, lắp hướng xuống (pendent). Loại bầu thủy tinh tự kích hoạt: khi nhiệt độ môi trường đạt 68°C, bầu thủy tinh vỡ và đầu phun xả nước dập cháy tự động. K=11.2 (lưu lượng lớn) cho khu vực nguy cơ cháy cao như kho hàng.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Model: TY5237</li>
<li>Hướng lắp: hướng xuống (pendent)</li>
<li>Kích cỡ ren: 3/4 inch</li>
<li>Hệ số dòng chảy K = 11.2</li>
<li>Nhiệt độ kích hoạt: 68°C (bầu thủy tinh màu đỏ)</li>
<li>Cơ chế: bầu thủy tinh (glass bulb)</li>
<li>Xuất xứ: Tyco – Anh/Mỹ (UK-US)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hệ thống chữa cháy tự động sprinkler cho nhà xưởng, kho, tòa nhà, trung tâm thương mại.</p>",ty5237.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ty5237.png,https://anphat.com/vi/dau-phun-sprinkler-tyco-huong-xuong-ty5237.html
ĐẦU PHUN CHỮA CHÁY,"ĐẦU PHUN ÂM TRẦN HƯỚNG XUỐNG, KÈM NẮP CHỤP AG, MODEL: GA8173",GA8173,,bộ,"<p>Đầu phun âm trần hướng xuống model GA8173, kèm nắp chụp AG che thẩm mỹ. Tự kích hoạt phun nước khi đạt ngưỡng nhiệt.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Model: GA8173</li>
<li>Loại: âm trần, hướng xuống (pendent concealed)</li>
<li>Kèm nắp chụp AG</li>
<li>Cơ chế: bầu thủy tinh tự kích hoạt</li>
<li><em>(DN, K-factor, nhiệt độ: xác nhận theo lô hàng)</em></li>
</ul>
<h3>Ứng dụng</h3>
<p>Khu vực trần hoàn thiện cần thẩm mỹ: văn phòng, khách sạn.</p>",ga8173.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ga8173.png,
ĐẦU PHUN CHỮA CHÁY,"Đầu phun hướng lên DN15, K5.6, 68°C PS001",PS001,Protector/ Taiwan,cái,"<p>Đầu phun sprinkler chữa cháy model PS001, lắp hướng lên (upright). Loại bầu thủy tinh tự kích hoạt: khi nhiệt độ môi trường đạt 68°C, bầu thủy tinh vỡ và đầu phun xả nước dập cháy tự động. Giải pháp kinh tế cho hệ sprinkler.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Model: PS001</li>
<li>Hướng lắp: hướng lên (upright)</li>
<li>Kích cỡ ren: DN15 (1/2 inch)</li>
<li>Hệ số dòng chảy K = 5.6</li>
<li>Nhiệt độ kích hoạt: 68°C (bầu thủy tinh màu đỏ)</li>
<li>Cơ chế: bầu thủy tinh (glass bulb)</li>
<li>Xuất xứ: Protector – Đài Loan</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hệ thống chữa cháy tự động sprinkler cho nhà xưởng, kho, tòa nhà, trung tâm thương mại.</p>",ps001.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ps001.png,https://anphat.com/vi/dau-phun-sprinkler-protector-huong-len-ps001.html
ĐẦU PHUN CHỮA CHÁY,"Đầu phun hướng xuống DN15, K5.6, 68°C PS002",PS002,Protector/ Taiwan,cái,"<p>Đầu phun sprinkler chữa cháy model PS002, lắp hướng xuống (pendent). Loại bầu thủy tinh tự kích hoạt: khi nhiệt độ môi trường đạt 68°C, bầu thủy tinh vỡ và đầu phun xả nước dập cháy tự động. Giải pháp kinh tế cho hệ sprinkler.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Model: PS002</li>
<li>Hướng lắp: hướng xuống (pendent)</li>
<li>Kích cỡ ren: DN15 (1/2 inch)</li>
<li>Hệ số dòng chảy K = 5.6</li>
<li>Nhiệt độ kích hoạt: 68°C (bầu thủy tinh màu đỏ)</li>
<li>Cơ chế: bầu thủy tinh (glass bulb)</li>
<li>Xuất xứ: Protector – Đài Loan</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hệ thống chữa cháy tự động sprinkler cho nhà xưởng, kho, tòa nhà, trung tâm thương mại.</p>",ps002.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ps002.png,https://anphat.com/vi/dau-phun-sprinkler-protector-huong-xuong-ps002.html
ĐẦU PHUN CHỮA CHÁY,Nắp chụp đầu phun Protector (đôi) DN15,,VN,bộ,"<p>Nắp chụp đầu phun Protector loại đôi, dùng cho đầu phun DN15. Bảo vệ đầu phun và tăng thẩm mỹ khi lắp âm trần.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: nắp chụp đôi</li>
<li>Dùng cho đầu phun DN15</li>
<li>Hãng Protector</li>
<li>Xuất xứ: Việt Nam</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hoàn thiện thẩm mỹ và bảo vệ đầu phun sprinkler âm trần.</p>",nap-chup-au-phun-protector-oi-dn15.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/nap-chup-au-phun-protector-oi-dn15.jpeg,
ĐẦU PHUN CHỮA CHÁY,"Nắp chụp bảo vệ đầu phun Sprinkler (đơn, đôi, chén)",,VN,cái,"<p>Nắp chụp bảo vệ đầu phun sprinkler (escutcheon) che kín lỗ khoét trần quanh đầu phun chữa cháy, bảo vệ đầu phun khỏi va đập, bụi bẩn và tăng thẩm mỹ cho trần hoàn thiện. Sẵn kho các loại đơn, đôi (kép), chén cho đầu phun DN15, DN20.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: đơn / đôi (kép) / chén (escutcheon)</li>
<li>Dùng cho đầu phun: DN15 (1/2 inch), DN20 (3/4 inch)</li>
<li>Chất liệu: inox / thép mạ crôm, không gỉ</li>
<li>Xuất xứ: Việt Nam</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hoàn thiện thẩm mỹ trần văn phòng, khách sạn, showroom; bảo vệ đầu phun tại khu vực dễ va chạm hoặc nhiều bụi. Nhận đặt lồng thép bảo vệ đầu phun (sprinkler guard) cho kho hàng, tầng hầm.</p>",nap-chup-au-phun-protector-oi-dn15.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/nap-chup-au-phun-protector-oi-dn15.jpeg,
ĐẦU PHUN CHỮA CHÁY,Nắp chụp đầu phun (chén) - hàng VN,,VN,bộ,"<p>Nắp chụp đầu phun loại chén (escutcheon), che phần đầu phun âm trần tạo thẩm mỹ và che khe hở trần.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: nắp chụp chén (escutcheon)</li>
<li>Hàng sản xuất tại Việt Nam</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hoàn thiện thẩm mỹ cho đầu phun âm trần.</p>",nap-chup-au-phun-chen-hang-vn.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/nap-chup-au-phun-chen-hang-vn.jpeg,
BÌNH CHỮA CHÁY,Bình chữa cháy CO2 3KG - TQ,MT3,JSF/TQ,bình,"<p>Bình chữa cháy khí CO2 loại 3KG (MT3), dập cháy bằng cách cách ly oxy và làm lạnh đám cháy, không để lại cặn nên an toàn cho thiết bị điện tử.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chất chữa cháy: khí CO2</li>
<li>Khối lượng khí: 3 kg</li>
<li>Dập tốt cháy loại B (chất lỏng) và thiết bị điện</li>
<li>Không để lại cặn sau khi phun</li>
<li>Hãng JSF – Trung Quốc</li>
</ul>
<h3>Ứng dụng</h3>
<p>Phòng máy, tủ điện, văn phòng, nơi có nhiều thiết bị điện – điện tử.</p>",mt3.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/mt3.png,https://pccchuongduong.vn/binh-chua-chay-co2-3kg/
BÌNH CHỮA CHÁY,Bình chữa cháy bột ABC 4KG - TQ,MFZL4,JSF/TQ,bình,"<p>Bình chữa cháy bột ABC loại 4KG (MFZL4), dập được cả 3 nhóm cháy A (chất rắn), B (chất lỏng), C (chất khí) – loại đa dụng phổ biến nhất.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chất chữa cháy: bột khô ABC</li>
<li>Khối lượng bột: 4 kg</li>
<li>Dập cháy loại A, B, C</li>
<li>Có đồng hồ áp suất</li>
<li>Hãng JSF – Trung Quốc</li>
</ul>
<h3>Ứng dụng</h3>
<p>Gia đình, văn phòng, ô tô, cửa hàng – đa dụng cho nhiều loại đám cháy.</p>",mfzl4.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/mfzl4.png,https://pccchuongduong.vn/binh-chua-chay-bot-abc-4kg/
BÌNH CHỮA CHÁY,Bình chữa cháy CO2 3KG - BQP,83MEC/CO2/MT3,83MEC/VN,bình,"<p>Bình chữa cháy khí CO2 3KG do Nhà máy Z183 (83MEC) – Bộ Quốc Phòng sản xuất, đạt tiêu chuẩn kiểm định Việt Nam, chất lượng quân đội.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chất chữa cháy: khí CO2</li>
<li>Khối lượng khí: 3 kg</li>
<li>Dập cháy loại B và thiết bị điện, không để lại cặn</li>
<li>Đạt kiểm định PCCC Việt Nam</li>
<li>Xuất xứ: 83MEC (Bộ Quốc Phòng) – Việt Nam</li>
</ul>
<h3>Ứng dụng</h3>
<p>Văn phòng, phòng máy, tủ điện, cơ sở kinh doanh cần hàng kiểm định.</p>",83mec-co2-mt3.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/83mec-co2-mt3.jpeg,https://83mec.com/san-pham/binh-chua-chay-co2-3kg-83mec/
BÌNH CHỮA CHÁY,Bình chữa cháy bột ABC 4KG - BQP,83MEC/ABC/4KG,83MEC/VN,bình,"<p>Bình chữa cháy bột ABC 4KG do Nhà máy Z183 (83MEC) – Bộ Quốc Phòng sản xuất, dập được cháy rắn, lỏng và khí.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chất chữa cháy: bột khô ABC</li>
<li>Khối lượng bột: 4 kg</li>
<li>Dập cháy loại A, B, C</li>
<li>Có đồng hồ áp suất</li>
<li>Đạt kiểm định PCCC Việt Nam</li>
<li>Xuất xứ: 83MEC (Bộ Quốc Phòng) – Việt Nam</li>
</ul>
<h3>Ứng dụng</h3>
<p>Gia đình, văn phòng, cơ sở kinh doanh.</p>",83mec-abc-4kg.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/83mec-abc-4kg.jpeg,https://83mec.com/san-pham/binh-chua-chay-bot-abc-4kg-83mec/
BÌNH CHỮA CHÁY,Bình chữa cháy khí CO2 5KG - BQP,83MEC/CO2/MT5,83MEC/VN,bình,"<p>Bình chữa cháy khí CO2 5KG do Nhà máy Z183 (83MEC) – Bộ Quốc Phòng sản xuất, dung tích lớn cho khu vực rộng.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chất chữa cháy: khí CO2</li>
<li>Khối lượng khí: 5 kg</li>
<li>Dập cháy loại B và thiết bị điện, không để lại cặn</li>
<li>Đạt kiểm định PCCC Việt Nam</li>
<li>Xuất xứ: 83MEC (Bộ Quốc Phòng) – Việt Nam</li>
</ul>
<h3>Ứng dụng</h3>
<p>Phòng máy lớn, nhà xưởng, khu vực nhiều thiết bị điện.</p>",83mec-co2-mt5.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/83mec-co2-mt5.jpeg,https://83mec.com/san-pham/binh-chua-chay-co2-5kg-83mec/
BÌNH CHỮA CHÁY,Bình chữa cháy bột ABC 8KG - BQP,83MEC/ABC/8KG,83MEC/VN,bình,"<p>Bình chữa cháy bột ABC 8KG do Nhà máy Z183 (83MEC) – Bộ Quốc Phòng sản xuất, dung tích lớn cho nhà xưởng, kho bãi.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chất chữa cháy: bột khô ABC</li>
<li>Khối lượng bột: 8 kg</li>
<li>Dập cháy loại A, B, C</li>
<li>Có đồng hồ áp suất</li>
<li>Đạt kiểm định PCCC Việt Nam</li>
<li>Xuất xứ: 83MEC (Bộ Quốc Phòng) – Việt Nam</li>
</ul>
<h3>Ứng dụng</h3>
<p>Nhà xưởng, kho hàng, khu vực rộng cần lượng chữa cháy lớn.</p>",83mec-abc-8kg.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/83mec-abc-8kg.jpeg,https://83mec.com/san-pham/binh-chua-chay-bot-abc-8kg-83mec/
BÌNH CHỮA CHÁY,Bình cầu chữa cháy tự động bột ABC 6kg - BQP,83MEC/ABC/TĐ6KG,83MEC/VN,bình,"<p>Bình cầu chữa cháy tự động bột ABC 6KG do Nhà máy Z183 (83MEC) – Bộ Quốc Phòng sản xuất. Tự động phun bột khi nhiệt độ đạt ngưỡng mà không cần người vận hành.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chất chữa cháy: bột khô ABC</li>
<li>Khối lượng bột: 6 kg</li>
<li>Loại: bình cầu tự động (treo trên cao)</li>
<li>Tự kích hoạt theo nhiệt độ</li>
<li>Đạt kiểm định PCCC Việt Nam</li>
<li>Xuất xứ: 83MEC (Bộ Quốc Phòng) – Việt Nam</li>
</ul>
<h3>Ứng dụng</h3>
<p>Treo phía trên tủ điện, phòng máy, khu vực không thường xuyên có người.</p>",83mec-abc-t6kg.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/83mec-abc-t6kg.jpeg,https://83mec.com/san-pham/binh-chua-chay-tu-dong-bot-abc-6kg-83mec/
BÌNH CHỮA CHÁY,Bình cầu chữa cháy tự động bột ABC 6kg - TQ,XZFTB6,JSF/TQ,bình,"<p>Bình cầu chữa cháy tự động bột ABC 6KG (XZFTB6), tự động phun bột khi gặp nhiệt độ cao, không cần người vận hành.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chất chữa cháy: bột khô ABC</li>
<li>Khối lượng bột: 6 kg</li>
<li>Loại: bình cầu tự động (treo trên cao)</li>
<li>Tự kích hoạt theo nhiệt độ</li>
<li>Hãng JSF – Trung Quốc</li>
</ul>
<h3>Ứng dụng</h3>
<p>Tủ điện, phòng máy, khu vực ít người qua lại.</p>",xzftb6.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/xzftb6.png,https://pccchuongduong.vn/binh-chua-chay-bot-abc-6kg-jsf/
BÌNH CHỮA CHÁY,Bình chữa cháy CO2 3KG - VINAFOAM,,VINAFOAM/VN,bình,"<p>Bình chữa cháy khí CO2 3KG thương hiệu VINAFOAM (V3-C), dập cháy thiết bị điện và chất lỏng, không để lại cặn.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chất chữa cháy: khí CO2</li>
<li>Khối lượng khí: 3 kg</li>
<li>Dập cháy loại B và thiết bị điện</li>
<li>Không để lại cặn</li>
<li>Xuất xứ: VINAFOAM – Việt Nam</li>
</ul>
<h3>Ứng dụng</h3>
<p>Văn phòng, phòng máy, tủ điện.</p>",binh-chua-chay-co2-3kg-vinafoam.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/binh-chua-chay-co2-3kg-vinafoam.jpeg,https://vinafoam.vn/san-pham/v3-c/
BÌNH CHỮA CHÁY,Bình chữa cháy bột ABC 4KG - VINAFOAM,,VINAFOAM/VN,bình,"<p>Bình chữa cháy bột ABC 4KG thương hiệu VINAFOAM (V4-P), đa dụng dập cháy rắn, lỏng, khí.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chất chữa cháy: bột khô ABC</li>
<li>Khối lượng bột: 4 kg</li>
<li>Dập cháy loại A, B, C</li>
<li>Có đồng hồ áp suất</li>
<li>Xuất xứ: VINAFOAM – Việt Nam</li>
</ul>
<h3>Ứng dụng</h3>
<p>Gia đình, văn phòng, xe hơi.</p>",binh-chua-chay-bot-abc-4kg-vinafoam.jpg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/binh-chua-chay-bot-abc-4kg-vinafoam.jpg,https://vinafoam.vn/san-pham/v4-p/
BÌNH CHỮA CHÁY,Bình chữa cháy pin lithium Orion 6L - VINAFOAM,OR-6,VINAFOAM/VN,bình,"<p>Bình chữa cháy chuyên dụng cho pin lithium Orion 6 lít (OR-6) của VINAFOAM. Dung dịch đặc biệt làm mát và dập cháy pin lithium hiệu quả – loại cháy mà bình bột/CO2 thông thường khó xử lý.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chất chữa cháy: dung dịch chuyên dụng pin lithium</li>
<li>Dung tích: 6 lít</li>
<li>Chuyên dập cháy pin lithium (xe điện, kho pin)</li>
<li>Làm mát, ngăn cháy lan và tái cháy</li>
<li>Xuất xứ: VINAFOAM – Việt Nam</li>
</ul>
<h3>Ứng dụng</h3>
<p>Xe máy/ô tô điện, trạm sạc, kho pin, thiết bị điện tử dùng pin lithium.</p>",or-6.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/or-6.png,https://vinafoam.vn/san-pham/binh-chua-chay-da-nang-orion-6-lit/
BÌNH CHỮA CHÁY,Bình chữa cháy pin lithium Orion 3L - VINAFOAM,OR-3,VINAFOAM/VN,bình,"<p>Bình chữa cháy chuyên dụng pin lithium Orion 3 lít (OR-3) của VINAFOAM, loại nhỏ gọn.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chất chữa cháy: dung dịch chuyên dụng pin lithium</li>
<li>Dung tích: 3 lít</li>
<li>Chuyên dập cháy pin lithium</li>
<li>Nhỏ gọn, dễ trang bị cho gia đình/xe</li>
<li>Xuất xứ: VINAFOAM – Việt Nam</li>
</ul>
<h3>Ứng dụng</h3>
<p>Xe máy điện, gia đình, văn phòng có thiết bị pin lithium.</p>",or-3.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/or-3.png,https://vinafoam.vn/san-pham/binh-chua-chay-da-nang-orion-3-lit/
BÌNH CHỮA CHÁY,Bình chữa cháy pin lithium Orion 9L - VINAFOAM,OR-9,VINAFOAM/VN,bình,"<p>Bình chữa cháy chuyên dụng pin lithium Orion 9 lít (OR-9) của VINAFOAM, dung tích lớn.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chất chữa cháy: dung dịch chuyên dụng pin lithium</li>
<li>Dung tích: 9 lít</li>
<li>Chuyên dập cháy pin lithium, dung tích lớn</li>
<li>Làm mát mạnh, chống tái cháy</li>
<li>Xuất xứ: VINAFOAM – Việt Nam</li>
</ul>
<h3>Ứng dụng</h3>
<p>Kho pin, trạm sạc, xe điện cỡ lớn, khu vực nhiều pin lithium.</p>",or-9.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/or-9.png,https://vinafoam.vn/san-pham/binh-chua-chay-da-nang-orion-9-lit/
BÌNH CHỮA CHÁY,Kệ đôi để bình chữa cháy,,VN,cái,"Kệ đôi đặt 2 bình chữa cháy được làm từ sắt, Kích thước: 20cm x 40cm, dày 6zem",ke-oi-e-binh-chua-chay.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ke-oi-e-binh-chua-chay.png,
TỦ CHỮA CHÁY - VAN -LĂNG - VÒI,Tủ chữa cháy trong nhà 500x700x220,,VN,tủ,"Tủ để vòi chữa cháy, còn được gọi là hộp chữa cháy hoặc tủ cứu hỏa, được treo trên tường gần hệ thống phòng cháy chữa cháy để chứa cuộn vòi chữa cháy, lăng phun, van góc và các loại bình chữa cháy.
Kích thước: 500x700x220, 8zem",tu-chua-chay-trong-nha-500x700x220.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/tu-chua-chay-trong-nha-500x700x220.jpeg,
TỦ CHỮA CHÁY - VAN -LĂNG - VÒI,Tủ chữa cháy trong nhà 400x600x220,,VN,tủ,"Tủ để vòi chữa cháy, còn được gọi là hộp chữa cháy hoặc tủ cứu hỏa, được treo trên tường gần hệ thống phòng cháy chữa cháy để chứa cuộn vòi chữa cháy, lăng phun, van góc và các loại bình chữa cháy.
Kích thước: 400x600x220, 8zem",,,
TỦ CHỮA CHÁY - VAN -LĂNG - VÒI,Vòi chữa cháy DN50x20mx16 bar kèm khớp,,Tomoken/VN,cuộn,"Thông số kỹ thuật
Khớp nối: 50mm
Xuất xứ : sản xuất tại Việt Nam theo công nghệ Nhật Bản.
Chiều dài (m) : 20 m
Ngàm nối: Ngàm nối nhanh khớp ngoài
Chất liệu / Màu sắc : Polyester Yarn / Trắng
Áp xuất làm việc : 1.6Mpa
Đường kính : DN50",voi-chua-chay-dn50x20mx16-bar-kem-khop.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/voi-chua-chay-dn50x20mx16-bar-kem-khop.png,
TỦ CHỮA CHÁY - VAN -LĂNG - VÒI,Lăng phun DN50,,Tomoken/VN,cái,"Thông số kỹ thuật:
Đường kính vào 50mm
Đường kính ra 12mm
Chiều dài 17cm
Kiểu ngàm nối khớp nối ngoài
Chất liệu gang
Ren Roong cao su
Chủng loại lăng phun chữa cháy",lang-phun-dn50.png|lang-phun-dn50-2.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/lang-phun-dn50.png|https://pcccphuoclong.vn/wp-content/uploads/2026/06/lang-phun-dn50-2.png,
TỦ CHỮA CHÁY - VAN -LĂNG - VÒI,Van gang DN50,,Tomoken/VN,cái,"Thông số kỹ thuật:
Vật liệu: Đồng, gang cầu & nhôm hợp kim

Môi trường làm việc: Nước ( chất lỏng)

Áp lực làm việc: 1.0Mpa~2.0Mpa

Trọng lượng: DN 50= 1,3 Kg

Lưu lượng: DN50 3776L/Phút tại áp 0,8Mpa",,,
TỦ CHỮA CHÁY - VAN -LĂNG - VÒI,"Vòi chữa cháy lót PVC, DN50-20m-1.6Mpa - TQ",,Trung Quốc,cuộn,"Thông số kỹ thuật:
Khớp nối: 50mm TCVN
Xuất xứ : TQ
Chiều dài (m) : 20 m
Chất liệu / Màu sắc : Polyester Yarn / Trắng
Áp suất làm việc (Br) : 17 Bar
Đường kính : DN50",voi-chua-chay-lot-pvc-dn50-20m-1-6mpa-tq.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/voi-chua-chay-lot-pvc-dn50-20m-1-6mpa-tq.png,
TỦ CHỮA CHÁY - VAN -LĂNG - VÒI,Lăng phun DN50 (KY51) - TQ,,Trung Quốc,cái,"Thông số kỹ thuật:
Đường kính vào 50mm
Đường kính ra 12mm
Chiều dài 17cm
Kiểu ngàm nối khớp nối ngoài
Chất liệu gang
Ren Roong cao su
Chủng loại lăng phun chữa cháy",lang-phun-dn50-ky51-tq.png|lang-phun-dn50-ky51-tq-2.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/lang-phun-dn50-ky51-tq.png|https://pcccphuoclong.vn/wp-content/uploads/2026/06/lang-phun-dn50-ky51-tq-2.png,
TỦ CHỮA CHÁY - VAN -LĂNG - VÒI,"Van góc chữa cháy 16K50, ngàm nối KY51 - TQ",,Trung Quốc,cái,"Thông số kỹ thuật:
Có hai loại van góc được sử dụng đạt chuẩn trên thị trường Việt Nam là van D50 và van D65.
Thông số kỹ thuật Van góc D50 :
Chủng loại: Dùng trong hệ thống PCCC vách tường.
Đường kính: 50cm.",,,
